10.05   iso/z008_10.05   testlib/z008_10.05   4.30
10.00   iso/z008_10.00   testlib/z008_10.00   4.20
09.95   iso/z008_09.95   testlib/z008_09.95   4.10
09.90   iso/z008_09.90   testlib/z008_09.90   4.00
09.85   iso/z008_09.85   testlib/z008_09.85   3.95
09.80   iso/z008_09.80   testlib/z008_09.80   3.90
09.75   iso/z008_09.75   testlib/z008_09.75   3.80
09.70   iso/z008_09.70   testlib/z008_09.70   3.70
09.65   iso/z008_09.65   testlib/z008_09.65   3.55
09.60   iso/z008_09.60   testlib/z008_09.60   3.40
09.55   iso/z008_09.55   testlib/z008_09.55   3.25
09.50   iso/z008_09.50   testlib/z008_09.50   3.05
09.45   iso/z008_09.45   testlib/z008_09.45   2.85
09.40   iso/z008_09.40   testlib/z008_09.40   2.60
09.35   iso/z008_09.35   testlib/z008_09.35   2.40
09.30   iso/z008_09.30   testlib/z008_09.30   2.20
09.25   iso/z008_09.25   testlib/z008_09.25   2.00
09.20   iso/z008_09.20   testlib/z008_09.20   1.80
09.15   iso/z008_09.15   testlib/z008_09.15   1.65
09.10   iso/z008_09.10   testlib/z008_09.10   1.45
09.05   iso/z008_09.05   testlib/z008_09.05   1.30
09.00   iso/z008_09.00   testlib/z008_09.00   1.15
08.95   iso/z008_08.95   testlib/z008_08.95   0.95
08.90   iso/z008_08.90   testlib/z008_08.90   0.70
08.85   iso/z008_08.85   testlib/z008_08.85   0.50
08.80   iso/z008_08.80   testlib/z008_08.80   0.30
08.75   iso/z008_08.75   testlib/z008_08.75   0.20
08.70   iso/z008_08.70   testlib/z008_08.70   0.00
08.65   iso/z008_08.65   testlib/z008_08.65  -0.10
08.60   iso/z008_08.60   testlib/z008_08.60  -0.30
08.55   iso/z008_08.55   testlib/z008_08.55  -0.40
08.50   iso/z008_08.50   testlib/z008_08.50  -0.60
08.45   iso/z008_08.45   testlib/z008_08.45  -0.80
08.40   iso/z008_08.40   testlib/z008_08.40  -0.90
08.35   iso/z008_08.35   testlib/z008_08.35  -1.05
