0.0080   10.00  3.47e9
0.0080   09.80  3.11e9
0.0080   09.60  1.96e9
0.0080   09.40  1.24e9
0.0080   09.20  7.80e8
0.0080   09.00  4.92e8
0.0080   08.80  3.11e8
0.0080   08.60  1.96e8
0.0080   08.40  1.24e8
0.0080   08.20  7.80e7
0.0080   08.00  4.92e7
0.0080   07.80  2.79e7
0.0080   07.60  2.08e7
0.0080   07.40  1.31e7
0.0080   07.20  8.26e6
0.0080   07.00  5.21e6
0.0080   06.80  3.29e6
0.0080   06.60  1.64e6
0.0040   10.00  3.47e9
0.0040   09.80  3.11e9
0.0040   09.60  1.96e9 
0.0040   09.40  1.24e9
0.0040   09.20  7.80e8
0.0040   09.00  4.92e8
0.0040   08.80  3.11e8
0.0040   08.60  1.96e8
0.0040   08.40  1.24e8
0.0040   08.20  7.80e7
0.0040   08.00  4.92e7
0.0040   07.80  2.79e7
0.0040   07.60  2.08e7
0.0080   07.40  1.31e7
0.0040   07.20  8.26e6
0.0040   07.00  5.21e6
0.0040   06.80  3.29e6
0.0040   06.60  1.64e6
0.0010   10.00  3.47e9
0.0010   09.80  3.11e9
0.0010   09.60  1.96e9
0.0010   09.40  1.24e9
0.0010   09.20  7.80e8
0.0010   09.00  4.92e8
0.0010   08.80  3.11e8
0.0010   08.60  1.96e8
0.0010   08.40  1.24e8
0.0010   08.20  7.80e7
0.0010   08.00  4.92e7
